       t        x        y
     791 -1.334504 -1.237214
     792 -2.083866 -0.284240
     793 -1.938504 0.586128
     794 -0.867725 1.534805
     795 0.812601 1.561321
     796 1.917041 0.619487
     797 2.093435 -0.253305
     798 1.377938 -1.202427
     799 -0.194235 -1.739221
     800 -1.620852 -0.981035
     801 -2.128535 -0.062952
     802 -1.755597 0.833666
     803 -0.449531 1.692277
     804 1.188667 1.344728
     805 2.046175 0.383601
     806 1.998795 -0.482076
     807 1.035965 -1.442876
     808 -0.631923 -1.635936
     809 -1.841034 -0.727035
     810 -2.116543 0.156162
     811 -1.507426 1.090485
     812 -0.002993 1.749997
     813 1.503689 1.093899
     814 2.116004 0.159087
     815 1.843516 -0.723739
     816 0.637516 -1.633907
     817 -1.031023 -1.445816
     818 -1.997141 -0.485190
     819 -2.047482 0.380561
     820 -1.193262 1.341551
     821 0.443739 1.693755
     822 1.752739 0.837029
     823 2.128745 -0.060049
     824 1.624202 -0.977619
     825 0.200184 -1.738551
     826 -1.373818 -1.205783
     827 -2.092563 -0.256270
     828 -1.919155 0.616270
     829 -0.817939 1.558831
     830 0.862470 1.537409
     831 1.936493 0.589322
     832 2.084833 -0.281260
     833 1.338731 -1.233886
     834 -0.250102 -1.732130
     835 -1.651909 -0.948922
     836 -2.130121 -0.035660
     837 -1.728256 0.865378
     838 -0.394850 1.705464
     839 1.231463 1.314617
     840 2.058061 0.355075
     841 1.982808 -0.511462
     842 0.989085 -1.470173
     843 -0.684262 -1.616252
     844 -1.863935 -0.696120
     845 -2.111074 0.183716
     846 -1.471812 1.122562
     847 0.053321 1.749188
     848 1.538378 1.061755
     849 2.120682 0.131609
     850 1.819723 -0.754833
     851 0.584629 -1.652372
     852 -1.077108 -1.417834
     853 -2.012286 -0.455989
     854 -2.034773 0.409249
     855 -1.149606 1.371202
     856 0.498021 1.679154
     857 1.779170 0.805457
     858 2.126373 -0.087372
     859 1.592221 -1.009779
     860 0.144136 -1.744064
     861 -1.412117 -1.174108
     862 -2.100363 -0.228432
     863 -1.898833 0.646630
     864 -0.767397 1.581753
     865 0.911552 1.512462
     866 1.954978 0.559374
     867 2.075329 -0.309359
     868 1.298517 -1.265051
     869 -0.305712 -1.723301
     870 -1.681934 -0.916887
     871 -2.130830 -0.008387
     872 -1.699892 0.897232
     873 -0.339770 1.717022
     874 1.273283 1.284051
     875 2.069032 0.326720
     876 1.965871 -0.541060
     877 0.941340 -1.496633
     878 -0.735946 -1.595272
     879 -1.885845 -0.665414
     880 -2.104717 0.211367
     881 -1.435169 1.154524
     882 0.109581 1.746569
     883 1.572033 1.029576
     884 2.124476 0.104202
     885 1.794926 -0.786120
     886 0.531170 -1.669410
     887 -1.122280 -1.389157
     888 -2.026495 -0.426991
     889 -2.021137 0.438127
     890 -1.105005 1.400271
     891 0.551808 1.663026
     892 1.804588 0.774058
     893 2.123120 -0.114742
     894 1.559204 -1.041962
     895 0.087940 -1.747790
     896 -1.449393 -1.142240
     897 -2.107269 -0.200713
     898 -1.877530 0.677206
     899 -0.716135 1.603495
     900 0.959815 1.486554
     901 1.972502 0.529644
     902 2.064918 -0.337613
     903 1.257305 -1.295864
     904 -0.361011 -1.712770
     905 -1.710929 -0.884958
     906 -2.130661 0.018881
     907 -1.670501 0.929204
     908 -0.284345 1.726902
     909 1.314112 1.253096
     910 2.079094 0.298528
     911 1.947978 -0.570874
     912 0.892758 -1.522180
     913 -0.786935 -1.573067
     914 -1.906769 -0.634921
     915 -2.097467 0.239130
     916 -1.397499 1.186323
     917 0.165727 1.742153
     918 1.604651 0.997398
     919 2.127390 0.076852
     920 1.769119 -0.817588
     921 0.477187 -1.684957
     922 -1.166520 -1.359856
     923 -2.039773 -0.398186
     924 -2.006569 0.467203
     925 -1.059479 1.428689
     926 0.605052 1.645431
     927 1.828998 0.742843
     928 2.118986 -0.142174
     929 1.525151 -1.074132
     930 0.031652 -1.749714
     931 -1.485640 -1.110228
     932 -2.113284 -0.173101
     933 -1.855239 0.707993
     934 -0.664195 1.623985
     935 1.007230 1.459763
     936 1.989073 0.500128
     937 2.053596 -0.366032
     938 1.215108 -1.326262
     939 -0.415943 -1.700580
     940 -1.738899 -0.853156
     941 -2.129615 0.046160
     942 -1.640079 0.961273
     943 -0.228629 1.735067
     944 1.353940 1.221811
     945 2.088250 0.270485
     946 1.929122 -0.600905
     947 0.843369 -1.546738
     948 -0.837190 -1.549711
     949 -1.926716 -0.604644
     950 -2.089323 0.267018
     951 -1.358808 1.217911
     952 0.221702 1.735958
     953 1.636235 0.965255
     954 2.129424 0.049544
     955 1.742297 -0.849222
     956 0.422728 -1.698955
     957 -1.209807 -1.330000
     958 -2.052128 -0.369569
     959 -1.991061 0.496483
     960 -1.013050 1.456383
     961 0.657708 1.626435
     962 1.852406 0.711826
     963 2.113968 -0.169684
     964 1.490063 -1.106251
     965 -0.024668 -1.749826
     966 -1.520856 -1.078119
     967 -2.118412 -0.145582
     968 -1.831955 0.738986
     969 -0.611615 1.643150
     970 1.053770 1.432164
     971 2.004697 0.470823
     972 2.041355 -0.394628
     973 1.171940 -1.356182
     974 -0.470458 -1.686778
     975 -1.765848 -0.821502
     976 -2.127690 0.073464
     977 -1.608624 0.993409
     978 -0.172679 1.741481
     979 1.392756 1.190253
     980 2.096506 0.242582
     981 1.909296 -0.631154
     982 0.793207 -1.570231
     983 -0.886676 -1.525281
     984 -1.945692 -0.574586
     985 -2.080278 0.295042
     986 -1.319106 1.249233
     987 0.277450 1.728009
     988 1.666784 0.933177
     989 2.130579 0.022263
     990 1.714454 -0.881007
     991 0.367844 -1.711347
     992 -1.252125 -1.299657
     993 -2.063564 -0.341128
     994 -1.974608 0.525972
     995 -0.965742 1.483278
     996 0.709730 1.606106
     997 1.874819 0.681012
