       t        x        y
     422 -1.040615 -0.106679
     423 -0.726067 0.703977
     424 0.189755 0.981886
     425 0.942283 0.419386
     426 0.937912 -0.427721
     427 0.179612 -0.983782
     428 -0.733297 -0.697097
     429 -1.039468 0.115580
     430 -0.524861 0.854861
     431 0.433224 0.902903
     432 1.022761 0.204995
     433 0.802195 -0.624708
     434 -0.076334 -0.997084
     435 -0.889026 -0.510232
     436 -0.981542 0.333889
     437 -0.290846 0.957080
     438 0.649225 0.770133
     439 1.047039 -0.016590
     440 0.619280 -0.792839
     441 -0.327298 -0.945425
     442 -0.993723 -0.301905
     443 -0.868910 0.539739
     444 -0.038084 0.999275
     445 0.825599 0.596853
     446 1.014281 -0.237615
     447 0.398329 -0.918380
     448 -0.557240 -0.835126
     449 -1.043263 -0.082508
     450 -0.706101 0.722354
     451 0.217165 0.976230
     452 0.953706 0.396647
     453 0.925623 -0.450192
     454 0.152005 -0.988402
     455 -0.752547 -0.678160
     456 -1.035894 0.139690
     457 -0.500736 0.868596
     458 0.458333 0.890833
     459 1.028165 0.181060
     460 0.784427 -0.644660
     461 -0.104213 -0.994560
     462 -0.903005 -0.488372
     463 -0.971870 0.357087
     464 -0.263944 0.964747
     465 0.670546 0.752971
     466 1.046235 -0.040827
     467 0.596860 -0.808832
     468 -0.353635 -0.936077
     469 -1.001846 -0.278381
     470 -0.853503 0.560977
     471 -0.010099 0.999949
     472 0.842018 0.576122
     473 1.007297 -0.261334
     474 0.372471 -0.928904
     475 -0.580409 -0.820047
     476 -1.045234 -0.058305
     477 -0.685627 0.740300
     478 0.244406 0.969826
     479 0.964490 0.373728
     480 0.912708 -0.472451
     481 0.124280 -0.992257
     482 -0.771262 -0.658834
     483 -1.031647 0.163744
     484 -0.476235 0.881734
     485 0.483095 0.878136
     486 1.032897 0.157052
     487 0.766105 -0.664254
     488 -0.132011 -0.991261
     489 -0.916367 -0.466275
     490 -0.961551 0.380128
     491 -0.236838 0.971684
     492 0.691379 0.735347
     493 1.044753 -0.065048
     494 0.574000 -0.824301
     495 -0.379701 -0.926041
     496 -1.009309 -0.254740
     497 -0.837504 0.581926
     498 0.017894 0.999840
     499 0.857853 0.555091
     500 0.999650 -0.284944
     501 0.346327 -0.938750
     502 -0.603148 -0.804430
     503 -1.046527 -0.034079
     504 -0.664657 0.757797
     505 0.271457 0.962685
     506 0.974629 0.350642
     507 0.899174 -0.494484
     508 0.096457 -0.995341
     509 -0.789431 -0.639139
     510 -1.026727 0.187733
     511 -0.451375 0.894258
     512 0.507493 0.864830
     513 1.036957 0.132981
     514 0.747240 -0.683473
     515 -0.159706 -0.987192
     516 -0.929109 -0.443956
     517 -0.950589 0.402998
     518 -0.209548 0.977880
     519 0.711713 0.717279
     520 1.042593 -0.089243
     521 0.550714 -0.839227
     522 -0.405476 -0.915330
     523 -1.016108 -0.230992
     524 -0.820924 0.602570
     525 0.045873 0.998947
     526 0.873094 0.533776
     527 0.991344 -0.308433
     528 0.319918 -0.947904
     529 -0.625443 -0.788294
     530 -1.047142 -0.009839
     531 -0.643203 0.774827
     532 0.298299 0.954817
     533 0.984120 0.327402
     534 0.885025 -0.516275
     535 0.068559 -0.997648
     536 -0.807044 -0.619091
     537 -1.021137 0.211645
     538 -0.426172 0.906151
     539 0.531510 0.850932
     540 1.040342 0.108857
     541 0.727842 -0.702299
     542 -0.187275 -0.982360
     543 -0.941222 -0.421428
     544 -0.938990 0.425685
     545 -0.182095 0.983327
     546 0.731534 0.698785
     547 1.039757 -0.113403
     548 0.527018 -0.853594
     549 -0.430943 -0.903961
     550 -1.022241 -0.207149
     551 -0.803770 0.622892
     552 0.073816 0.997273
     553 0.887736 0.512191
     554 0.982383 -0.331789
     555 0.293262 -0.956354
     556 -0.647279 -0.771657
     557 -1.047078 0.014404
     558 -0.621280 0.791371
     559 0.324910 0.946234
     560 0.992959 0.304020
     561 0.870270 -0.537810
     562 0.040607 -0.999175
     563 -0.824090 -0.598707
     564 -1.014878 0.235471
     565 -0.400646 0.917397
     566 0.555130 0.836459
     567 1.043052 0.084690
